,char_0,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,name
46,12,8,2,7,0,4,11,26,26,26,michael
47,1,4,17,19,26,26,26,26,26,26,bert
48,7,4,17,12,0,13,26,26,26,26,herman
49,9,8,12,26,26,26,26,26,26,26,jim
50,5,17,0,13,2,8,18,26,26,26,francis
51,7,0,17,21,4,24,26,26,26,26,harvey
52,4,0,17,11,26,26,26,26,26,26,earl
53,4,20,6,4,13,4,26,26,26,26,eugene
54,17,0,11,15,7,26,26,26,26,26,ralph
55,4,3,26,26,26,26,26,26,26,26,ed
56,2,11,0,20,3,4,26,26,26,26,claude
57,4,3,22,8,13,26,26,26,26,26,edwin
58,1,4,13,26,26,26,26,26,26,26,ben
59,2,7,0,17,11,4,24,26,26,26,charley
60,15,0,20,11,26,26,26,26,26,26,paul
61,4,3,6,0,17,26,26,26,26,26,edgar
62,8,18,0,0,2,26,26,26,26,26,isaac
63,14,19,19,14,26,26,26,26,26,26,otto
64,11,20,19,7,4,17,26,26,26,26,luther
65,11,0,22,17,4,13,2,4,26,26,lawrence
66,8,17,0,26,26,26,26,26,26,26,ira
67,15,0,19,17,8,2,10,26,26,26,patrick
68,6,20,24,26,26,26,26,26,26,26,guy
69,14,11,8,21,4,17,26,26,26,26,oliver
70,19,7,4,14,3,14,17,4,26,26,theodore
71,7,20,6,7,26,26,26,26,26,26,hugh
72,2,11,24,3,4,26,26,26,26,26,clyde
73,0,11,4,23,0,13,3,4,17,26,alexander
74,0,20,6,20,18,19,26,26,26,26,august
75,5,11,14,24,3,26,26,26,26,26,floyd
76,7,14,12,4,17,26,26,26,26,26,homer
77,9,0,2,10,26,26,26,26,26,26,jack
78,11,4,14,13,0,17,3,26,26,26,leonard
79,7,14,17,0,2,4,26,26,26,26,horace
80,12,0,17,8,14,13,26,26,26,26,marion
81,15,7,8,11,8,15,26,26,26,26,philip
82,0,11,11,4,13,26,26,26,26,26,allen
83,0,17,2,7,8,4,26,26,26,26,archie
84,18,19,4,15,7,4,13,26,26,26,stephen
85,2,7,4,18,19,4,17,26,26,26,chester
86,22,8,11,11,8,18,26,26,26,26,willis
87,17,0,24,12,14,13,3,26,26,26,raymond
88,17,20,5,20,18,26,26,26,26,26,rufus
89,22,0,17,17,4,13,26,26,26,26,warren
90,9,4,18,18,8,4,26,26,26,26,jessie
91,12,8,11,19,14,13,26,26,26,26,milton
92,0,11,4,23,26,26,26,26,26,26,alex
93,11,4,14,26,26,26,26,26,26,26,leo
94,9,20,11,8,20,18,26,26,26,26,julius
95,17,0,24,26,26,26,26,26,26,26,ray
96,18,8,3,13,4,24,26,26,26,26,sidney
97,1,4,17,13,0,17,3,26,26,26,bernard
98,3,0,13,26,26,26,26,26,26,26,dan
99,9,4,17,17,24,26,26,26,26,26,jerry
100,2,0,11,21,8,13,26,26,26,26,calvin
101,15,4,17,17,24,26,26,26,26,26,perry
102,3,0,21,4,26,26,26,26,26,26,dave
103,0,13,19,7,14,13,24,26,26,26,anthony
104,4,3,3,8,4,26,26,26,26,26,eddie
105,0,12,14,18,26,26,26,26,26,26,amos
106,3,4,13,13,8,18,26,26,26,26,dennis
107,2,11,8,5,5,14,17,3,26,26,clifford
108,11,4,17,14,24,26,26,26,26,26,leroy
109,22,4,18,11,4,24,26,26,26,26,wesley
110,0,11,14,13,25,14,26,26,26,26,alonzo
111,6,0,17,5,8,4,11,3,26,26,garfield
112,5,17,0,13,10,11,8,13,26,26,franklin
113,4,12,8,11,26,26,26,26,26,26,emil
114,11,4,14,13,26,26,26,26,26,26,leon
115,13,0,19,7,0,13,26,26,26,26,nathan
116,7,0,17,14,11,3,26,26,26,26,harold
117,12,0,19,19,7,4,22,26,26,26,matthew
118,11,4,21,8,26,26,26,26,26,26,levi
119,12,14,18,4,18,26,26,26,26,26,moses
120,4,21,4,17,4,19,19,26,26,26,everett
121,11,4,18,19,4,17,26,26,26,26,lester
122,22,8,13,5,8,4,11,3,26,26,winfield
123,0,3,0,12,26,26,26,26,26,26,adam
124,11,11,14,24,3,26,26,26,26,26,lloyd
125,12,0,2,10,26,26,26,26,26,26,mack
126,5,17,4,3,17,8,2,10,26,26,fredrick
127,9,0,24,26,26,26,26,26,26,26,jay
128,9,4,18,18,26,26,26,26,26,26,jess
129,12,4,11,21,8,13,26,26,26,26,melvin
130,13,14,0,7,26,26,26,26,26,26,noah
131,0,0,17,14,13,26,26,26,26,26,aaron
132,0,11,21,8,13,26,26,26,26,26,alvin
133,13,14,17,12,0,13,26,26,26,26,norman
134,6,8,11,1,4,17,19,26,26,26,gilbert
135,4,11,8,9,0,7,26,26,26,26,elijah
136,21,8,2,19,14,17,26,26,26,26,victor
137,6,20,18,26,26,26,26,26,26,26,gus
138,13,4,11,18,14,13,26,26,26,26,nelson
139,9,0,18,15,4,17,26,26,26,26,jasper
140,18,8,11,0,18,26,26,26,26,26,silas
141,2,7,17,8,18,19,14,15,7,4,christopher
142,9,0,10,4,26,26,26,26,26,26,jake
143,12,8,10,4,26,26,26,26,26,26,mike
144,15,4,17,2,24,26,26,26,26,26,percy
145,0,3,14,11,15,7,26,26,26,26,adolph
146,12,0,20,17,8,2,4,26,26,26,maurice
147,2,14,17,13,4,11,8,20,18,26,cornelius
148,5,4,11,8,23,26,26,26,26,26,felix
149,17,4,20,1,4,13,26,26,26,26,reuben
150,22,0,11,11,0,2,4,26,26,26,wallace
151,2,11,0,20,3,26,26,26,26,26,claud
152,17,14,18,2,14,4,26,26,26,26,roscoe
153,18,24,11,21,4,18,19,4,17,26,sylvester
154,4,0,17,13,4,18,19,26,26,26,earnest
155,7,8,17,0,12,26,26,26,26,26,hiram
156,14,19,8,18,26,26,26,26,26,26,otis
157,18,8,12,14,13,26,26,26,26,26,simon
158,22,8,11,11,0,17,3,26,26,26,willard
159,8,17,21,8,13,26,26,26,26,26,irvin
160,12,0,17,10,26,26,26,26,26,26,mark
161,9,14,18,4,26,26,26,26,26,26,jose
162,22,8,11,1,20,17,26,26,26,26,wilbur
163,0,1,17,0,7,0,12,26,26,26,abraham
164,21,8,17,6,8,11,26,26,26,26,virgil
165,2,11,8,13,19,14,13,26,26,26,clinton
166,4,11,1,4,17,19,26,26,26,26,elbert
167,11,4,18,11,8,4,26,26,26,26,leslie
168,12,0,17,18,7,0,11,11,26,26,marshall
169,14,22,4,13,26,26,26,26,26,26,owen
170,22,8,11,4,24,26,26,26,26,26,wiley
171,0,13,19,14,13,26,26,26,26,26,anton
172,12,14,17,17,8,18,26,26,26,26,morris
173,12,0,13,20,4,11,26,26,26,26,manuel
174,15,7,8,11,11,8,15,26,26,26,phillip
175,0,20,6,20,18,19,20,18,26,26,augustus
176,4,12,12,4,19,19,26,26,26,26,emmett
177,4,11,8,26,26,26,26,26,26,26,eli
178,13,8,2,7,14,11,0,18,26,26,nicholas
179,22,8,11,18,14,13,26,26,26,26,wilson
180,0,11,21,0,26,26,26,26,26,26,alva
181,7,0,17,11,4,24,26,26,26,26,harley
182,13,4,22,19,14,13,26,26,26,26,newton
183,19,8,12,14,19,7,24,26,26,26,timothy
184,12,0,17,21,8,13,26,26,26,26,marvin
185,17,14,18,18,26,26,26,26,26,26,ross
186,2,20,17,19,8,18,26,26,26,26,curtis
187,4,3,12,20,13,3,26,26,26,26,edmund
188,9,4,5,5,26,26,26,26,26,26,jeff
189,4,11,8,0,18,26,26,26,26,26,elias
190,7,0,17,17,8,18,14,13,26,26,harrison
191,18,19,0,13,11,4,24,26,26,26,stanley
192,2,14,11,20,12,1,20,18,26,26,columbus
193,11,14,13,26,26,26,26,26,26,26,lon
194,14,17,0,26,26,26,26,26,26,26,ora
195,14,11,11,8,4,26,26,26,26,26,ollie
196,17,20,18,18,4,11,11,26,26,26,russell
197,15,4,0,17,11,26,26,26,26,26,pearl
198,18,14,11,14,12,14,13,26,26,26,solomon
199,0,17,2,7,26,26,26,26,26,26,arch
200,0,18,0,26,26,26,26,26,26,26,asa
201,2,11,0,24,19,14,13,26,26,26,clayton
202,4,13,14,2,7,26,26,26,26,26,enoch
203,8,17,21,8,13,6,26,26,26,26,irving
204,12,0,19,7,4,22,26,26,26,26,mathew
205,13,0,19,7,0,13,8,4,11,26,nathaniel
206,18,2,14,19,19,26,26,26,26,26,scott
207,7,20,1,4,17,19,26,26,26,26,hubert
208,11,4,12,20,4,11,26,26,26,26,lemuel
209,0,13,3,24,26,26,26,26,26,26,andy
210,4,11,11,8,18,26,26,26,26,26,ellis
211,4,12,0,13,20,4,11,26,26,26,emanuel
212,9,14,18,7,20,0,26,26,26,26,joshua
213,12,8,11,11,0,17,3,26,26,26,millard
214,21,4,17,13,14,13,26,26,26,26,vernon
215,22,0,3,4,26,26,26,26,26,26,wade
216,2,24,17,20,18,26,26,26,26,26,cyrus
217,12,8,11,4,18,26,26,26,26,26,miles
218,17,20,3,14,11,15,7,26,26,26,rudolph
219,18,7,4,17,12,0,13,26,26,26,sherman
220,0,20,18,19,8,13,26,26,26,26,austin
221,1,8,11,11,26,26,26,26,26,26,bill
222,2,7,0,18,26,26,26,26,26,26,chas
223,11,14,13,13,8,4,26,26,26,26,lonnie
224,12,14,13,17,14,4,26,26,26,26,monroe
225,1,24,17,14,13,26,26,26,26,26,byron
226,4,3,3,26,26,26,26,26,26,26,edd
227,4,12,4,17,24,26,26,26,26,26,emery
228,6,17,0,13,19,26,26,26,26,26,grant
229,9,4,17,14,12,4,26,26,26,26,jerome
230,12,0,23,26,26,26,26,26,26,26,max
231,12,14,18,4,26,26,26,26,26,26,mose
232,18,19,4,21,4,26,26,26,26,26,steve
233,6,14,17,3,14,13,26,26,26,26,gordon
234,0,1,4,26,26,26,26,26,26,26,abe
235,15,4,19,4,26,26,26,26,26,26,pete
236,2,7,17,8,18,26,26,26,26,26,chris
237,2,11,0,17,10,26,26,26,26,26,clark
238,6,20,18,19,0,21,4,26,26,26,gustave
239,14,17,21,8,11,11,4,26,26,26,orville
240,11,14,17,4,13,25,14,26,26,26,lorenzo
241,1,17,20,2,4,26,26,26,26,26,bruce
242,12,0,17,2,20,18,26,26,26,26,marcus
243,15,17,4,18,19,14,13,26,26,26,preston
244,1,14,1,26,26,26,26,26,26,26,bob
245,3,14,2,10,26,26,26,26,26,26,dock
246,3,14,13,0,11,3,26,26,26,26,donald
247,9,0,2,10,18,14,13,26,26,26,jackson
248,2,4,2,8,11,26,26,26,26,26,cecil
249,1,0,17,13,4,24,26,26,26,26,barney
250,3,4,11,1,4,17,19,26,26,26,delbert
251,4,3,12,14,13,3,26,26,26,26,edmond
252,0,13,3,4,17,18,14,13,26,26,anderson
253,2,7,17,8,18,19,8,0,13,26,christian
254,6,11,4,13,13,26,26,26,26,26,glenn
255,9,4,5,5,4,17,18,14,13,26,jefferson
256,11,20,10,4,26,26,26,26,26,26,luke
257,13,4,0,11,26,26,26,26,26,26,neal
258,1,20,17,19,26,26,26,26,26,26,burt
259,8,10,4,26,26,26,26,26,26,26,ike
260,12,24,17,14,13,26,26,26,26,26,myron
261,19,14,13,24,26,26,26,26,26,26,tony
262,2,14,13,17,0,3,26,26,26,26,conrad
263,9,14,4,11,26,26,26,26,26,26,joel
264,12,0,19,19,26,26,26,26,26,26,matt
265,17,8,11,4,24,26,26,26,26,26,riley
266,21,8,13,2,4,13,19,26,26,26,vincent
267,4,12,14,17,24,26,26,26,26,26,emory
268,8,18,0,8,0,7,26,26,26,26,isaiah
269,13,8,2,10,26,26,26,26,26,26,nick
270,4,25,17,0,26,26,26,26,26,26,ezra
271,6,17,4,4,13,26,26,26,26,26,green
272,9,20,0,13,26,26,26,26,26,26,juan
273,2,11,8,5,19,14,13,26,26,26,clifton
274,11,20,2,8,20,18,26,26,26,26,lucius
275,15,14,17,19,4,17,26,26,26,26,porter
276,0,17,13,14,11,3,26,26,26,26,arnold
277,1,20,3,26,26,26,26,26,26,26,bud
278,9,4,17,4,12,8,0,7,26,26,jeremiah
279,19,0,24,11,14,17,26,26,26,26,taylor
280,5,14,17,17,4,18,19,26,26,26,forrest
281,17,14,11,0,13,3,26,26,26,26,roland
282,18,15,4,13,2,4,17,26,26,26,spencer
283,1,20,17,19,14,13,26,26,26,26,burton
284,3,14,13,26,26,26,26,26,26,26,don
285,4,12,12,4,19,26,26,26,26,26,emmet
286,6,20,18,19,0,21,26,26,26,26,gustav
287,11,14,20,8,4,26,26,26,26,26,louie
288,12,14,17,6,0,13,26,26,26,26,morgan
289,13,4,3,26,26,26,26,26,26,26,ned
290,21,0,13,26,26,26,26,26,26,26,van
291,0,12,1,17,14,18,4,26,26,26,ambrose
292,2,7,0,20,13,2,4,24,26,26,chauncey
293,4,11,8,18,7,0,26,26,26,26,elisha
294,5,4,17,3,8,13,0,13,3,26,ferdinand
295,6,4,13,4,17,0,11,26,26,26,general
296,9,20,11,8,0,13,26,26,26,26,julian
297,10,4,13,13,4,19,7,26,26,26,kenneth
298,12,8,19,2,7,4,11,11,26,26,mitchell
299,0,11,11,8,4,26,26,26,26,26,allie
300,9,14,18,7,26,26,26,26,26,26,josh
301,9,20,3,18,14,13,26,26,26,26,judson
302,11,24,12,0,13,26,26,26,26,26,lyman
303,13,0,15,14,11,4,14,13,26,26,napoleon
304,15,4,3,17,14,26,26,26,26,26,pedro
305,1,4,17,17,24,26,26,26,26,26,berry
306,3,4,22,8,19,19,26,26,26,26,dewitt
307,4,17,21,8,13,26,26,26,26,26,ervin
308,5,14,17,4,18,19,26,26,26,26,forest
309,11,24,13,13,26,26,26,26,26,26,lynn
310,15,8,13,10,26,26,26,26,26,26,pink
311,17,20,1,4,13,26,26,26,26,26,ruben
312,18,0,13,5,14,17,3,26,26,26,sanford
313,22,0,17,3,26,26,26,26,26,26,ward
314,3,14,20,6,11,0,18,26,26,26,douglas
315,14,11,4,26,26,26,26,26,26,26,ole
316,14,12,4,17,26,26,26,26,26,26,omer
317,20,11,24,18,18,4,18,26,26,26,ulysses
318,22,0,11,10,4,17,26,26,26,26,walker
319,22,8,11,1,4,17,19,26,26,26,wilbert
320,0,3,4,11,1,4,17,19,26,26,adelbert
321,1,4,13,9,8,12,0,13,26,26,benjiman
322,8,21,0,13,26,26,26,26,26,26,ivan
323,9,14,13,0,18,26,26,26,26,26,jonas
324,12,0,9,14,17,26,26,26,26,26,major
325,0,1,13,4,17,26,26,26,26,26,abner
326,0,17,2,7,8,1,0,11,3,26,archibald
327,2,0,11,4,1,26,26,26,26,26,caleb
328,2,11,8,13,19,26,26,26,26,26,clint
329,3,20,3,11,4,24,26,26,26,26,dudley
330,6,17,0,13,21,8,11,11,4,26,granville
331,10,8,13,6,26,26,26,26,26,26,king
332,12,0,17,24,26,26,26,26,26,26,mary
333,12,4,17,19,14,13,26,26,26,26,merton
334,0,13,19,14,13,8,14,26,26,26,antonio
335,1,4,13,13,8,4,26,26,26,26,bennie
336,2,0,17,17,14,11,11,26,26,26,carroll
337,5,17,4,4,12,0,13,26,26,26,freeman
338,9,14,18,8,0,7,26,26,26,26,josiah
339,12,8,11,14,26,26,26,26,26,26,milo
340,17,14,24,0,11,26,26,26,26,26,royal
341,3,8,2,10,26,26,26,26,26,26,dick
342,4,0,17,11,4,26,26,26,26,26,earle
343,4,11,25,0,26,26,26,26,26,26,elza
344,4,12,4,17,18,14,13,26,26,26,emerson
345,5,11,4,19,2,7,4,17,26,26,fletcher
346,9,20,3,6,4,26,26,26,26,26,judge
347,11,0,20,17,4,13,2,4,26,26,laurence
348,13,4,8,11,26,26,26,26,26,26,neil
349,17,14,6,4,17,26,26,26,26,26,roger
350,18,4,19,7,26,26,26,26,26,26,seth
351,6,11,4,13,26,26,26,26,26,26,glen
352,7,20,6,14,26,26,26,26,26,26,hugo
353,9,8,12,12,8,4,26,26,26,26,jimmie
354,9,14,7,13,13,8,4,26,26,26,johnnie
355,22,0,18,7,8,13,6,19,14,13,washington
356,4,11,22,14,14,3,26,26,26,26,elwood
357,6,20,18,19,26,26,26,26,26,26,gust
358,7,0,17,12,14,13,26,26,26,26,harmon
359,9,14,17,3,0,13,26,26,26,26,jordan
360,18,8,12,4,14,13,26,26,26,26,simeon
361,22,0,24,13,4,26,26,26,26,26,wayne
362,22,8,11,1,4,17,26,26,26,26,wilber
363,2,11,4,12,26,26,26,26,26,26,clem
364,4,21,0,13,26,26,26,26,26,26,evan
365,5,17,4,3,4,17,8,2,26,26,frederic
366,8,17,22,8,13,26,26,26,26,26,irwin
367,9,20,13,8,20,18,26,26,26,26,junius
368,11,0,5,0,24,4,19,19,4,26,lafayette
369,11,14,17,4,13,26,26,26,26,26,loren
370,12,0,3,8,18,14,13,26,26,26,madison
371,12,0,18,14,13,26,26,26,26,26,mason
372,14,17,21,0,11,26,26,26,26,26,orval
373,0,1,17,0,12,26,26,26,26,26,abram
374,0,20,1,17,4,24,26,26,26,26,aubrey
375,4,11,11,8,14,19,19,26,26,26,elliott
376,7,0,13,18,26,26,26,26,26,26,hans
377,10,0,17,11,26,26,26,26,26,26,karl
378,12,8,13,14,17,26,26,26,26,26,minor
379,22,0,18,7,26,26,26,26,26,26,wash
380,22,8,11,5,17,4,3,26,26,26,wilfred
381,0,11,11,0,13,26,26,26,26,26,allan
382,0,11,15,7,14,13,18,4,26,26,alphonse
383,3,0,11,11,0,18,26,26,26,26,dallas
384,3,4,4,26,26,26,26,26,26,26,dee
385,8,18,8,0,7,26,26,26,26,26,isiah
386,9,0,18,14,13,26,26,26,26,26,jason
387,9,14,7,13,13,24,26,26,26,26,johnny
388,11,0,22,18,14,13,26,26,26,26,lawson
389,11,4,22,26,26,26,26,26,26,26,lew
390,12,8,2,7,4,0,11,26,26,26,micheal
391,14,17,8,13,26,26,26,26,26,26,orin
392,0,3,3,8,18,14,13,26,26,26,addison
393,2,0,11,26,26,26,26,26,26,26,cal
394,4,17,0,18,19,20,18,26,26,26,erastus
395,5,17,0,13,2,8,18,2,14,26,francisco
396,7,0,17,3,24,26,26,26,26,26,hardy
397,11,20,2,8,4,13,26,26,26,26,lucien
398,17,0,13,3,14,11,15,7,26,26,randolph
399,18,19,4,22,0,17,19,26,26,26,stewart
400,21,4,17,13,26,26,26,26,26,26,vern
401,22,8,11,12,4,17,26,26,26,26,wilmer
402,25,0,2,10,26,26,26,26,26,26,zack
403,0,3,17,8,0,13,26,26,26,26,adrian
404,0,11,21,0,7,26,26,26,26,26,alvah
405,1,4,17,19,17,0,12,26,26,26,bertram
406,2,11,0,24,26,26,26,26,26,26,clay
407,4,15,7,17,0,8,12,26,26,26,ephraim
408,5,17,8,19,25,26,26,26,26,26,fritz
409,6,8,11,4,18,26,26,26,26,26,giles
410,6,17,14,21,4,17,26,26,26,26,grover
411,7,0,17,17,8,18,26,26,26,26,harris
412,8,18,14,12,26,26,26,26,26,26,isom
413,9,4,18,20,18,26,26,26,26,26,jesus
414,9,14,7,13,8,4,26,26,26,26,johnie
415,9,14,13,0,19,7,0,13,26,26,jonathan
416,11,20,2,8,0,13,26,26,26,26,lucian
417,12,0,11,2,14,11,12,26,26,26,malcolm
418,12,4,17,17,8,19,19,26,26,26,merritt
419,14,19,7,14,26,26,26,26,26,26,otho
420,15,4,17,11,4,24,26,26,26,26,perley
421,17,14,11,11,0,26,26,26,26,26,rolla
422,18,0,13,3,24,26,26,26,26,26,sandy
423,19,14,12,0,18,26,26,26,26,26,tomas
424,22,8,11,5,14,17,3,26,26,26,wilford
425,0,3,14,11,15,7,20,18,26,26,adolphus
426,0,13,6,20,18,26,26,26,26,26,angus
427,0,17,19,7,4,17,26,26,26,26,arther
428,2,0,17,11,14,18,26,26,26,26,carlos
429,2,0,17,24,26,26,26,26,26,26,cary
430,2,0,18,18,8,20,18,26,26,26,cassius
431,3,0,21,8,18,26,26,26,26,26,davis
432,7,0,12,8,11,19,14,13,26,26,hamilton
433,7,0,17,21,4,26,26,26,26,26,harve
434,8,18,17,0,4,11,26,26,26,26,israel
435,11,4,0,13,3,4,17,26,26,26,leander
436,12,4,11,21,8,11,11,4,26,26,melville
437,12,4,17,11,4,26,26,26,26,26,merle
438,12,20,17,17,0,24,26,26,26,26,murray
439,15,11,4,0,18,0,13,19,26,26,pleasant
440,18,19,4,17,11,8,13,6,26,26,sterling
441,18,19,4,21,4,13,26,26,26,26,steven
442,0,23,4,11,26,26,26,26,26,26,axel
443,1,14,24,3,26,26,26,26,26,26,boyd
444,1,17,24,0,13,19,26,26,26,26,bryant
445,2,11,4,12,4,13,19,26,26,26,clement
446,4,17,22,8,13,26,26,26,26,26,erwin
447,4,25,4,10,8,4,11,26,26,26,ezekiel
448,5,14,18,19,4,17,26,26,26,26,foster
449,5,17,0,13,2,4,18,26,26,26,frances
450,6,4,14,26,26,26,26,26,26,26,geo
451,7,14,20,18,19,14,13,26,26,26,houston
452,8,18,18,0,2,26,26,26,26,26,issac
453,9,20,11,4,18,26,26,26,26,26,jules
454,11,0,17,10,8,13,26,26,26,26,larkin
455,12,0,19,26,26,26,26,26,26,26,mat
456,12,14,17,19,14,13,26,26,26,26,morton
457,14,17,11,0,13,3,14,26,26,26,orlando
458,15,8,4,17,2,4,26,26,26,26,pierce
459,15,17,8,13,2,4,26,26,26,26,prince
460,17,14,11,11,8,4,26,26,26,26,rollie
461,17,14,11,11,8,13,26,26,26,26,rollin
462,18,8,12,26,26,26,26,26,26,26,sim
463,18,19,20,0,17,19,26,26,26,26,stuart
464,22,8,11,1,20,17,13,26,26,26,wilburn
465,1,4,13,13,4,19,19,26,26,26,bennett
466,2,0,18,15,4,17,26,26,26,26,casper
467,2,7,17,8,18,19,26,26,26,26,christ
468,3,4,11,11,26,26,26,26,26,26,dell
469,4,6,1,4,17,19,26,26,26,26,egbert
470,4,11,12,14,26,26,26,26,26,26,elmo
471,5,0,24,26,26,26,26,26,26,26,fay
472,6,0,1,17,8,4,11,26,26,26,gabriel
473,7,4,2,19,14,17,26,26,26,26,hector
474,7,14,17,0,19,8,14,26,26,26,horatio
475,11,8,6,4,26,26,26,26,26,26,lige
476,18,0,20,11,26,26,26,26,26,26,saul
477,18,12,8,19,7,26,26,26,26,26,smith
478,18,16,20,8,17,4,26,26,26,26,squire
479,19,14,1,4,26,26,26,26,26,26,tobe
480,19,14,12,12,8,4,26,26,26,26,tommie
481,22,24,0,19,19,26,26,26,26,26,wyatt
482,0,11,5,14,17,3,26,26,26,26,alford
483,0,11,12,0,26,26,26,26,26,26,alma
484,0,11,19,14,13,26,26,26,26,26,alton
485,0,13,3,17,4,18,26,26,26,26,andres
486,1,20,17,11,26,26,26,26,26,26,burl
487,2,8,2,4,17,14,26,26,26,26,cicero
488,3,4,0,13,26,26,26,26,26,26,dean
489,3,14,17,18,4,24,26,26,26,26,dorsey
490,4,13,14,18,26,26,26,26,26,26,enos
491,7,14,22,4,11,11,26,26,26,26,howell
492,11,14,20,26,26,26,26,26,26,26,lou
493,11,14,24,3,26,26,26,26,26,26,loyd
494,12,0,7,11,14,13,26,26,26,26,mahlon
495,13,0,19,26,26,26,26,26,26,26,nat
496,14,12,0,17,26,26,26,26,26,26,omar
497,14,17,0,13,26,26,26,26,26,26,oran
498,15,0,17,10,4,17,26,26,26,26,parker
499,17,0,11,4,8,6,7,26,26,26,raleigh
500,17,4,6,8,13,0,11,3,26,26,reginald
501,17,20,1,8,13,26,26,26,26,26,rubin
502,18,4,24,12,14,20,17,26,26,26,seymour
503,22,12,26,26,26,26,26,26,26,26,wm
504,24,14,20,13,6,26,26,26,26,26,young
505,1,4,13,9,0,12,8,13,4,26,benjamine
506,2,0,17,4,24,26,26,26,26,26,carey
507,2,0,17,11,19,14,13,26,26,26,carlton
508,4,11,3,17,8,3,6,4,26,26,eldridge
509,4,11,25,8,4,26,26,26,26,26,elzie
510,6,0,17,17,4,19,19,26,26,26,garrett
511,8,18,7,0,12,26,26,26,26,26,isham
512,9,14,7,13,18,14,13,26,26,26,johnson
513,11,0,17,17,24,26,26,26,26,26,larry
514,11,14,6,0,13,26,26,26,26,26,logan
515,12,4,17,17,8,11,11,26,26,26,merrill
516,12,14,13,19,26,26,26,26,26,26,mont
517,14,17,4,13,26,26,26,26,26,26,oren
518,15,8,4,17,17,4,26,26,26,26,pierre
519,17,4,23,26,26,26,26,26,26,26,rex
520,17,14,3,13,4,24,26,26,26,26,rodney
521,19,4,3,26,26,26,26,26,26,26,ted
522,22,4,1,18,19,4,17,26,26,26,webster
523,22,4,18,19,26,26,26,26,26,26,west
524,22,7,4,4,11,4,17,26,26,26,wheeler
525,22,8,11,11,0,12,26,26,26,26,willam
526,0,11,26,26,26,26,26,26,26,26,al
527,0,11,14,24,18,8,20,18,26,26,aloysius
528,0,11,21,8,4,26,26,26,26,26,alvie
529,0,13,13,0,26,26,26,26,26,26,anna
530,0,17,19,26,26,26,26,26,26,26,art
531,0,20,6,20,18,19,8,13,4,26,augustine
532,1,0,8,11,4,24,26,26,26,26,bailey
533,1,4,13,9,0,12,0,13,26,26,benjaman
534,1,4,21,4,17,11,24,26,26,26,beverly
535,1,8,18,7,14,15,26,26,26,26,bishop
536,2,11,0,8,17,26,26,26,26,26,clair
537,2,11,14,24,3,26,26,26,26,26,cloyd
538,2,14,11,4,12,0,13,26,26,26,coleman
539,3,0,13,0,26,26,26,26,26,26,dana
540,3,20,13,2,0,13,26,26,26,26,duncan
541,3,22,8,6,7,19,26,26,26,26,dwight
542,4,12,8,11,4,26,26,26,26,26,emile
543,4,21,4,17,19,26,26,26,26,26,evert
